order_id,order_date,product_name,category,quantity,unit_price,total_amount,region,sales_rep,customer_type,payment_method,discount_pct,notes
ORD-10334,2023-01-01,Whiteboard Markers 12pk,Office Supplies,29,9.66,280.14,East,Aisha Patel,Wholesale,Check,0,VIP client
ORD-10382,2023-01-01,Monitor Arm Dual,Furniture,36,148.24,5336.64,North,Elena Vasquez,Corporate,Check,20,
ORD-10249,2023-01-08,USB-C Hub 7-Port,Electronics,3,50.71,152.13,North,James Chen,Corporate,Wire Transfer,0,
ORD-10292,2023-01-08,Ergonomic Chair X1,Furniture,1,636.58,636.58,East,,Wholesale,Paypal,10,VIP client
ORD-10317,2023-01-08,Notebook A5 Premium,Office Supplies,19,13.37,254.03,South,Elena Vasquez,Wholesale,Check,0,
ORD-10320,2023-01-09,Standing Desk L-Shape,Furniture,9,903.81,8134.29,South,Elena Vasquez,Corporate,Check,0,
ORD-10270,2023-01-10,Printer Paper 5000ct,Office Supplies,49,40.04,1961.96,Central,Carlos Mendez,Online,Paypal,0,
ORD-10136,2023-01-12,Standing Desk L-Shape,Furniture,38,905.77,34419.26,North,Aisha Patel,Corporate,Net 30,10,
ORD-10040,2023-01-13,Wireless Mouse M200,Electronics,33,31.32,1033.56,East,Robert Johnson,Wholesale,Paypal,0,VIP client
ORD-10352,2023-01-16,Ergonomic Chair X1,Furniture,3,582.57,1747.71,North,Robert Johnson,Corporate,Check,0,Customer complaint
ORD-10144,2023-01-17,Desk Lamp LED,Office Supplies,50,50.89,2544.5,Central,Maria Rodriguez,Retail,Paypal,0,Customer complaint
ORD-10493,2023-01-17,USB-C Hub 7-Port,Electronics,1,45.35,45.35,South,Carlos Mendez,Wholesale,Credit Card,10,
ORD-10271,2023-01-26,Standing Desk L-Shape,Furniture,35,906.05,31711.75,East,Carlos Mendez,Retail,Credit Card,0,
ORD-10476,2023-01-30,USB-C Hub 7-Port,Electronics,27,54.38,1468.26,East,Robert Johnson,Retail,Paypal,0,Return pending
ORD-10347,2023-01-31,Webcam HD 1080p,Electronics,17,89.08,1514.36,West,Sarah Williams,Corporate,Net 30,5,
ORD-10368,2023-02-01,Wireless Mouse M200,Electronics,10,28.01,280.1,South,James Chen,Online,Credit Card,10,
ORD-10443,2023-02-03,Notebook A5 Premium,Office Supplies,3,11.81,35.43,East,James Chen,Retail,Credit Card,0,Backordered
ORD-10408,2023-02-04,Wireless Mouse M200,Electronics,1,25.56,25.56,West,Sarah Williams,Wholesale,Check,0,
ORD-10209,2023-02-05,Standing Desk L-Shape,Furniture,29,946.66,27453.14,,Fatima Al-Hassan,Retail,Credit Card,10,
ORD-10286,2023-02-05,USB-C Hub 7-Port,Electronics,24,51.52,1236.48,West,Robert Johnson,Wholesale,Net 30,0,
ORD-10238,2023-02-06,Standing Desk L-Shape,Furniture,27,824.7,22266.9,South,Fatima Al-Hassan,Corporate,Check,0,Rush order
ORD-10246,2023-02-08,Monitor Arm Dual,Furniture,46,135.86,6249.56,North,Maria Rodriguez,Retail,Paypal,0,
ORD-10409,2023-02-08,Ergonomic Chair X1,Furniture,12,618.86,7426.32,East,Elena Vasquez,Wholesale,Wire Transfer,0,
ORD-10022,2023-02-10,Standing Desk L-Shape,Furniture,24,950.62,22814.88,East,Elena Vasquez,Wholesale,Wire Transfer,0,Rush order
ORD-10430,2023-02-11,Keyboard Mechanical,Electronics,8,160.41,1283.28,North,Thomas Brown,Corporate,Check,0,Return pending
ORD-10202,2023-02-14,USB-C Hub 7-Port,Electronics,46,46.69,2147.74,North,James Chen,Wholesale,Paypal,0,
ORD-10003,2023-02-16,Desk Lamp LED,Office Supplies,13,47.76,620.88,South,Elena Vasquez,Corporate,Check,0,
ORD-10251,2023-02-16,Notebook A5 Premium,Office Supplies,48,11.49,551.52,East,Thomas Brown,Retail,Check,15,Rush order
ORD-10029,2023-02-17,Ergonomic Chair X1,Furniture,13,535.63,6963.19,West,Thomas Brown,Corporate,Paypal,20,Customer complaint
ORD-10062,2023-02-17,Keyboard Mechanical,Electronics,19,168.14,3194.66,West,Carlos Mendez,Corporate,Net 30,0,Rush order
ORD-10499,2023-02-18,Standing Desk L-Shape,Furniture,16,774.99,12399.84,South,Maria Rodriguez,Online,,0,Customer complaint
ORD-10339,2023-02-20,Wireless Mouse M200,Electronics,31,30.63,949.53,Central,Sarah Williams,Corporate,Net 30,5,
ORD-10474,2023-02-20,Standing Desk L-Shape,Furniture,45,938.61,42237.45,East,Thomas Brown,Retail,Net 30,20,
ORD-10208,2023-02-21,Wireless Mouse M200,Electronics,3,33.97,101.91,North,Elena Vasquez,Online,Wire Transfer,0,VIP client
ORD-10338,2023-02-21,Printer Paper 5000ct,Office Supplies,45,32.06,1442.7,North,Elena Vasquez,Corporate,Wire Transfer,0,Return pending
ORD-10079,2023-02-22,Webcam HD 1080p,Electronics,49,78.14,3828.86,Central,Carlos Mendez,Corporate,Wire Transfer,0,
ORD-10358,2023-02-22,USB-C Hub 7-Port,Electronics,12,54.03,648.36,South,Sarah Williams,Retail,Net 30,0,
ORD-10199,2023-02-23,Wireless Mouse M200,Electronics,33,31.55,1041.15,North,Aisha Patel,Online,Credit Card,0,
ORD-10471,2023-02-23,Whiteboard Markers 12pk,Office Supplies,45,7.29,328.05,North,Carlos Mendez,Online,Check,0,
ORD-10013,2023-02-25,Notebook A5 Premium,Office Supplies,30,14.41,432.3,West,David Kim,Wholesale,Wire Transfer,5,
ORD-10355,2023-02-25,USB-C Hub 7-Port,Electronics,28,46.91,1313.48,North,,Wholesale,Net 30,0,
ORD-10420,2023-02-26,Desk Lamp LED,Office Supplies,22,48.18,1059.96,West,Robert Johnson,Retail,Check,15,Rush order
ORD-10485,2023-02-26,Laptop Pro 15,Electronics,42,1215.34,51044.28,East,Carlos Mendez,Retail,Credit Card,5,Rush order
ORD-10145,2023-02-27,Printer Paper 5000ct,Office Supplies,14,37.66,527.24,Central,David Kim,Online,,5,
ORD-10212,2023-02-27,Standing Desk L-Shape,Furniture,35,929.56,32534.6,South,Carlos Mendez,Online,Check,0,
ORD-10467,2023-02-27,Notebook A5 Premium,Office Supplies,17,14.4,244.8,Central,Robert Johnson,Wholesale,Check,0,
ORD-10141,2023-03-03,Keyboard Mechanical,Electronics,5,151.84,759.2,South,Elena Vasquez,Corporate,Paypal,20,
ORD-10005,2023-03-09,Laptop Pro 15,Electronics,21,1261.44,26490.24,West,Aisha Patel,Wholesale,Net 30,10,
ORD-10056,2023-03-09,Laptop Pro 15,Electronics,41,1342.45,55040.45,North,James Chen,Retail,Wire Transfer,0,Damaged in transit
ORD-10362,2023-03-11,Monitor Arm Dual,Furniture,25,145.49,3637.25,West,James Chen,Online,Check,20,Backordered
ORD-10412,2023-03-14,Laptop Pro 15,Electronics,32,1305.8,41785.6,East,James Chen,Wholesale,,5,
ORD-10018,2023-03-16,Whiteboard Markers 12pk,Office Supplies,21,9.58,201.18,Central,Fatima Al-Hassan,Wholesale,Check,0,Customer complaint
ORD-10168,2023-03-17,Keyboard Mechanical,Electronics,28,163.0,4564.0,West,Maria Rodriguez,Retail,Credit Card,5,
ORD-10273,2023-03-17,Keyboard Mechanical,Electronics,22,129.2,2842.4,East,Elena Vasquez,Corporate,Paypal,15,
ORD-10413,2023-03-17,Ergonomic Chair X1,Furniture,25,669.33,16733.25,South,Thomas Brown,Wholesale,Paypal,15,
ORD-10389,2023-03-20,Whiteboard Markers 12pk,Office Supplies,6,7.54,45.24,East,James Chen,Wholesale,Net 30,0,
ORD-10130,2023-03-22,Laptop Pro 15,Electronics,19,1477.56,28073.64,South,Fatima Al-Hassan,Online,Wire Transfer,0,Customer complaint
ORD-10107,2023-03-23,Printer Paper 5000ct,Office Supplies,19,33.11,629.09,Central,Elena Vasquez,Corporate,,0,
ORD-10330,2023-03-23,Laptop Pro 15,Electronics,14,1360.73,19050.22,East,Maria Rodriguez,Online,Net 30,0,
ORD-10351,2023-03-23,Ergonomic Chair X1,Furniture,44,513.84,22608.96,East,Elena Vasquez,Corporate,Wire Transfer,0,Backordered
ORD-10017,2023-03-25,Desk Lamp LED,Office Supplies,39,38.79,1512.81,South,David Kim,Online,Paypal,0,Damaged in transit
ORD-10138,2023-03-25,Webcam HD 1080p,Electronics,49,82.29,4032.21,Central,Maria Rodriguez,Wholesale,Net 30,0,Rush order
ORD-10223,2023-03-25,USB-C Hub 7-Port,Electronics,41,46.87,1921.67,West,Aisha Patel,Corporate,Wire Transfer,15,
ORD-10178,2023-03-26,Keyboard Mechanical,Electronics,29,149.48,4334.92,East,,Wholesale,Paypal,0,
ORD-10163,2023-03-28,Laptop Pro 15,Electronics,19,1266.38,24061.22,South,,Online,Paypal,0,
ORD-10190,2023-03-28,USB-C Hub 7-Port,Electronics,16,46.65,746.4,North,,Wholesale,Paypal,10,
ORD-10342,2023-03-29,Ergonomic Chair X1,Furniture,44,576.33,25358.52,East,David Kim,Retail,Check,0,
ORD-10357,2023-03-29,Keyboard Mechanical,Electronics,29,156.02,4524.58,West,Elena Vasquez,Wholesale,Check,0,Rush order
ORD-10113,2023-03-30,Printer Paper 5000ct,Office Supplies,9,36.17,325.53,West,James Chen,Online,Credit Card,0,
ORD-10180,2023-03-31,Standing Desk L-Shape,Furniture,23,941.25,21648.75,Central,Elena Vasquez,Wholesale,Wire Transfer,5,
ORD-10433,2023-03-31,Standing Desk L-Shape,Furniture,29,944.33,27385.57,East,Elena Vasquez,Corporate,,0,
ORD-10418,2023-04-03,Standing Desk L-Shape,Furniture,16,886.6,14185.6,West,Thomas Brown,Corporate,Paypal,0,
ORD-10465,2023-04-03,Notebook A5 Premium,Office Supplies,24,13.66,327.84,North,Fatima Al-Hassan,Online,,0,Customer complaint
ORD-10078,2023-04-06,Wireless Mouse M200,Electronics,6,32.97,197.82,Central,Thomas Brown,Online,Credit Card,0,
ORD-10183,2023-04-06,Wireless Mouse M200,Electronics,41,32.64,1338.24,West,David Kim,Retail,Credit Card,0,
ORD-10290,2023-04-06,Printer Paper 5000ct,Office Supplies,33,37.64,1242.12,West,Elena Vasquez,Retail,Net 30,20,Customer complaint
ORD-10313,2023-04-08,Ergonomic Chair X1,Furniture,11,580.5,6385.5,West,James Chen,Online,,0,
ORD-10309,2023-04-09,Standing Desk L-Shape,Furniture,31,935.34,28995.54,East,Fatima Al-Hassan,Online,Credit Card,20,
ORD-10239,2023-04-10,Webcam HD 1080p,Electronics,36,72.34,2604.24,,,Retail,Wire Transfer,15,Customer complaint
ORD-10228,2023-04-13,USB-C Hub 7-Port,Electronics,37,51.31,1898.47,West,Elena Vasquez,Corporate,,0,
ORD-10221,2023-04-14,Desk Lamp LED,Office Supplies,28,40.37,1130.36,Central,Aisha Patel,Wholesale,Credit Card,0,
