order_id,order_date,product_name,category,quantity,unit_price,total_amount,region,sales_rep,customer_type,payment_method,discount_pct,notes
ORD-10158,2023/07/03,Printer Paper 5000 ct,Office Supplies,37,$36.65,1356.05,West,aisha patel,Wholesale,Net 30,20,Return pending
ORD-10451,25/05/2024,Keyboard Mechanical,electronics,4,164.85,659.4,S,T. Brown,Retail,Credit Card,,none
ORD-10055,01-06-2024,Notebook A5  Premium,Off. Supplies,4,11.77,47.08,,fatima al-hassan,Online,PayPal,,
ORD-10247,2024-12-19,wireless mouse m200,Elec.,36,27.77,$999.72,West  , James  Chen ,Online,,0,-
ORD-10070,05/19/2024,laptop pro 15,electronics,3,1223.69,3671.07, East ,"Al-Hassan, Fatima",Wholesale,PayPal,0,NULL
ORD-10376,"January 08, 2024",usb-c hub 7-port,Elec.,40,$46.36,"$1,854.40",WEST,Maria Rodriguez,Corporate,Credit Card,15,NULL
ORD-10382,01/01/2023,Monitor Arm - Dual,FURNITURE,36,148.24,"$5,336.64",north, Elena  Vasquez ,Corporate,Check,20,n/a
ORD-10081,14-Dec-23,Keyboard Mechanical,electronics,49,$141.39,6928.11,north,Maria Rodriguez,Wholesale,PayPal,,none
ORD-10436,04/28/2024,Standing  Desk L-Shape,Furntiure,41,$934.13,38299.33,SOUTH,Carlos Mendez,Retail,Check,,
ORD-10144,2023-01-17,desk lamp led,Office Supplies,50,50.89,2544.5,Cntrl,maria rodriguez,Retail,PayPal,,Customer complaint
ORD-10218,"December 10, 2023",Keyboard Mechanical,ELECTRONICS,43,$156.25,$6718.75,N,Aisha Patel,Retail,Credit Card,20,none
ORD-10076,10-09-2023,DeskLamp LED,Office Supply,10,39.14,391.4,Centro,"Patel, Aisha",Corporate,Credit Card,0,Backordered
ORD-10375,06/30/2024,Mechanical Keyboard,Electronic,49,$157.68,7726.32,West,ROBERT JOHNSON,Corporate,PayPal,5,Customer complaint
ORD-10199,2023-02-23,wireless mouse m200,Electronic,33,31.55,1041.15,NORTH,AISHA PATEL,Online,Credit Card,,
ORD-10137,2023-08-15,webcam hd 1080p,Electronicss,19,$76.81,1459.39,C,,Corporate,Net 30,5,Customer complaint
ORD-10163,28/03/2023,Laptop Pro  15,Electronic,19,1266.38,24061.22,south,,Online,PayPal,0,
ORD-10132,2023/07/24,Webcam HD  1080p,ELECTRONICS,31,$79.45,2462.95, North,thomas brown,Retail,Wire Transfer,20,Rush order
ORD-10010,19-Jun-23,WebCam HD 1080P,,31,90.71,$2812.01,Cntrl, Carlos  Mendez ,Online,PayPal,15,none
ORD-10078,"April 06, 2023",Wireless Mouse M200,Elec.,6,$32.97,$197.82,Central,T. Brown,Online,Credit Card,,N/A
ORD-10311,21/06/2023,Whiteboard Markers 12 pk,Office supplies,41,9.65,395.65,north,david kim,Online,Check,10,VIP client
ORD-10238,02-06-2023,Standing  Desk L-Shape,Furn.,27,$824.70,"$22,266.90",South , Fatima  Al-Hassan ,Corporate,Check,,Rush order
ORD-10165,"September 27, 2024",Laptpo Pro 15,Electronicss,26,"$1,234.56",32098.56,central,AISHA PATEL,Wholesale,PayPal,15,Rush order
ORD-10006,05-22-2023,LED Desk Lamp,,26,43.14,1121.64,South , Sarah  Williams ,Corporate,Net 30,0,n/a
ORD-10177,04-06-2024,Standing Desk L-Shape,FURNITURE,9,769.3,6923.7,south,E. Vasquez,Corporate,,,-
